period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2018/12,엘오티베큠,083310,반도체와반도체장비,202,1754.5,843.7,214.3,74.2,133.8,,19.7,401.6,,910.8,732.3,114.7,,24.9,7.6,30.0,1.5,521.1,443.5,61.0,180.0,,7.4,181.2,,11.0,,,3.0,77.6,,,,5.8,67.8,,1.1,241.0,-180.7,257.3,1233.4,1215.1,66.3,,135.6,-17.1,1031.6
2019/12,엘오티베큠,083310,반도체와반도체장비,202,2100.3,1034.3,256.1,97.2,280.7,,25.4,365.4,,1066.0,837.4,97.9,,50.0,14.6,34.3,31.7,834.8,529.3,65.1,180.0,36.0,12.4,191.1,26.4,1.3,,,5.0,305.5,191.3,44.0,14.5,,48.1,,0.1,539.8,152.6,321.1,1265.5,1252.7,66.3,,146.5,-9.8,1046.1
2020/12,엘오티베큠,083310,반도체와반도체장비,202,2275.8,1198.0,318.3,46.9,144.5,,43.9,644.4,,1077.8,779.8,68.1,62.0,75.6,15.6,56.6,20.3,655.8,602.6,108.7,100.0,36.0,5.6,195.4,57.3,5.9,,,62.2,53.1,,9.4,10.0,,25.9,,,269.7,-377.7,69.1,1620.0,1598.7,82.7,,493.2,-57.7,1079.0
2021/12,엘오티베큠,083310,반도체와반도체장비,202,2638.0,1496.0,450.1,40.7,279.2,,41.6,674.1,,1142.0,839.8,64.7,58.5,107.7,7.7,45.7,18.0,704.4,609.0,,100.0,9.5,7.8,232.2,88.5,77.2,,,44.2,95.4,,58.5,7.7,2.4,20.5,,,183.5,-505.6,116.3,1933.6,1906.6,89.1,,665.8,-125.8,1272.6
2022/12(E),엘오티베큠,083310,반도체와반도체장비,202,3223.0,2026.0,,,,,,,,,,,,,,,,1015.0,898.0,,,,,,,,,,,117.0,,,,,,,,,-993.0,138.0,2209.0,2247.0,89.0,,,,
2016/12,엘컴텍,037950,핸드셋,207,900.9,240.2,42.0,17.4,72.2,,1.9,75.0,31.6,660.7,362.2,89.9,169.8,38.8,,,,125.3,107.2,,19.9,9.7,0.8,75.5,,,,,1.3,18.1,,12.0,,,,0.1,,41.6,-33.4,14.2,775.5,750.3,422.2,,423.2,-123.1,68.5
2017/12,엘컴텍,037950,핸드셋,207,914.3,225.8,39.4,15.6,62.0,,1.1,78.4,29.4,688.4,352.0,88.0,167.0,44.6,,36.7,,135.8,111.3,,8.6,,3.3,44.2,,0.9,,,54.3,24.6,,18.9,,,,,,27.5,-50.9,47.3,778.4,760.5,422.2,,423.2,-123.1,84.9
2018/12,엘컴텍,037950,핸드셋,207,832.5,141.9,23.8,12.0,51.8,,1.5,52.8,,690.6,351.1,93.7,166.5,46.2,,33.0,,68.5,51.5,,,11.2,,38.9,,1.1,,,0.4,17.0,,15.4,,,,,,26.6,-26.2,30.9,763.9,754.8,422.2,,423.2,-123.1,79.4
2019/12,엘컴텍,037950,핸드셋,207,834.8,159.6,31.5,0.2,71.5,,2.9,52.8,,675.1,367.2,82.9,163.7,51.9,,9.4,,101.1,71.1,,29.3,,,41.4,,,,,0.4,30.0,,27.6,,,,,,56.8,4.0,50.6,733.6,740.9,422.2,,423.2,-123.1,39.4
2020/12,엘컴텍,037950,핸드셋,207,648.2,116.9,31.8,0.2,33.9,,6.3,44.3,,531.3,325.2,3.7,160.8,41.6,,,,101.0,65.4,,20.0,,,45.0,,,,,0.4,35.7,,25.9,,,,6.5,,45.9,1.6,8.2,547.1,599.7,422.2,,423.2,-123.1,-103.3
2021/12,엘컴텍,037950,핸드셋,207,666.8,164.7,45.2,,51.3,,5.6,62.6,,502.1,300.0,3.9,160.6,37.6,,,,84.3,40.4,,,,0.1,38.0,,2.0,,,0.4,43.9,,28.2,,,,13.3,,28.2,-34.4,10.4,582.5,643.9,422.2,,423.2,-123.1,-61.6
2022/12(E),엘컴텍,037950,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,엘티씨,170920,디스플레이장비및부품,199,1446.2,494.7,67.7,73.2,112.0,,7.3,234.5,,951.5,699.5,172.6,,42.0,17.4,20.0,,553.2,266.5,,187.8,5.5,13.9,58.2,,1.0,,,,286.7,28.0,234.1,,1.3,,11.8,,455.5,167.7,215.5,893.0,884.1,37.6,,429.0,-59.6,474.7
