period,shareName,shareCode,marketName,marketCode,operatingCashFlow,depreciation,amortization,investingCashFlow,investingCashFlowIn,investingCashFlowOut,financingCashFlow,financingCashFlowIn,financingCashFlowOut,decreaseInTangibleAssets,decreaseInOtherTangibleAssets,decreaseInIntangibleAssets,increaseInInvestmentRealEstate,increaseInTangibleAssets,increaseInRealEstate,increaseInOtherTangibleAssets,increaseInIntangibleAssets,increaseInShortTermBorrowings,increaseInDebt,increaseInLongTermBorrowings,decreaseInShortTermBorrowings,decreaseInDebt,decreaseInLongTermBorrowings,acquisitionOfTreasuryStock,beginningOfTermCashAndCashEquivalents,endOfTermCashAndCashEquivalents
2022/12(E),DB,012030,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,DB금융투자,016610,증권,12,3077.1,,,35.1,,,-1445.4,,,,,,,,,,,,,,,,,,,
2017/12,DB금융투자,016610,증권,12,-1314.8,,,67.5,,,1395.0,,,,,2.0,,18.0,,,33.9,,,,,,,,3302.3,3440.3
2018/12,DB금융투자,016610,증권,12,1688.4,,,-24.0,,,-1597.6,,,,,2.4,,25.3,,,36.3,,,,,,,,3440.3,3507.4
2019/12,DB금융투자,016610,증권,12,-6205.1,,,61.4,,,6059.6,,,,,4.5,,22.5,,,6.8,,,,,,,,3507.4,3425.2
2020/12,DB금융투자,016610,증권,12,3091.0,,,-124.1,,,-2455.5,,,,,6.3,,26.6,,,34.3,,,,,,,,3425.2,3930.3
2021/12,DB금융투자,016610,증권,12,-1972.4,,,-227.5,,,3706.7,,,,,14.0,,68.4,,,67.7,,,,,,,,3930.3,5446.9
2022/12(E),DB금융투자,016610,증권,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,DB손해보험,005830,손해보험,190,31025.8,,,-30134.6,,,-940.3,,,,,,,,,,,,,,,,,,,
2017/12,DB손해보험,005830,손해보험,190,-3159.9,,,-6042.5,,,5011.4,,,3.3,,1.3,,203.3,,,221.8,,,,,,,,7538.8,3258.2
2018/12,DB손해보험,005830,손해보험,190,2464.4,,,1445.1,,,-448.0,,,22.8,,,,225.5,,,138.2,,,,,,,,3258.2,6744.0
2019/12,DB손해보험,005830,손해보험,190,21965.8,,,-23290.4,,,-1164.5,,,4.3,,,,180.3,,,141.0,,,,,,,,6744.0,4249.2
2020/12,DB손해보험,005830,손해보험,190,12423.9,,,-8248.7,,,-2962.4,,,1.2,,4.4,,220.0,,,272.9,,,,,,,1228.4,4249.2,5212.6
2021/12,DB손해보험,005830,손해보험,190,22762.6,,,-26260.8,,,4007.6,,,1.6,,0.4,,161.3,,,213.6,,,,,,,,5212.6,6028.5
2022/12(E),DB손해보험,005830,손해보험,190,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,DGB금융지주,139130,은행,20,326.3,,,-5454.3,,,5252.9,,,,,,,,,,,,,,,,,,,
2017/12,DGB금융지주,139130,은행,20,16.1,,,-5469.0,,,5866.4,,,220.7,,6.9,,830.7,,,504.4,,12929.8,,,10057.8,,0.1,9302.1,9541.2
2018/12,DGB금융지주,139130,은행,20,3985.3,,,-11079.2,,,4842.9,,,42.7,,30.6,,2552.3,,,304.1,,24842.7,,,17478.6,,,9541.2,7330.5
2019/12,DGB금융지주,139130,은행,20,-9588.6,,,2446.8,,,8458.2,,,199.5,,3.8,,501.3,,,287.8,,19474.8,,,17870.0,,,7330.5,8644.1
2020/12,DGB금융지주,139130,은행,20,-29337.4,,,-2822.0,,,36458.5,,,125.9,,10.9,,505.9,,,607.5,,19926.5,,,12350.0,,,8644.1,12625.2
2021/12,DGB금융지주,139130,은행,20,8818.6,,,-13736.5,,,5383.4,,,206.4,,4.0,,675.6,,,707.2,,31120.5,,,23346.0,,,12625.2,13218.9
2022/12(E),DGB금융지주,139130,은행,20,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,DI동일,001530,"섬유,의류,신발,호화품",134,85.7,219.1,7.5,5.3,222.8,217.5,-87.4,424.5,433.0,,,,,,,,,,,,,,,,,
