period,shareName,shareCode,marketName,marketCode,totalRevenue,costOfRevenue,grossProfit,operationExpense,operationIncome,interestIncome,interestExpense,otherNonOperationIncExp,earningBfTax,incomeTaxExpense,netIncome
2020/06,삼보모터스,053700,자동차부품,36,2024.8,1894.6,130.2,158.7,-28.5,12.5,51.7,-9.2,-76.9,9.5,-86.4
2020/09,삼보모터스,053700,자동차부품,36,2433.7,2213.1,220.6,167.2,53.3,14.0,72.6,-6.5,-11.7,9.1,-20.8
2020/12,삼보모터스,053700,자동차부품,36,2830.2,2566.7,263.5,127.8,135.7,-27.0,50.2,-80.7,-22.2,-10.8,-11.3
2021/03,삼보모터스,053700,자동차부품,36,2495.4,2251.5,244.0,212.0,32.0,79.9,59.2,6.5,59.2,13.9,45.3
2021/06,삼보모터스,053700,자동차부품,36,2707.8,2406.2,301.6,212.5,89.1,-16.4,41.6,3.1,34.1,1.6,32.5
2021/09,삼보모터스,053700,자동차부품,36,2300.2,2062.0,238.2,212.1,26.1,88.1,38.1,24.0,100.0,29.6,70.4
2021/12(E),삼보모터스,053700,자동차부품,36,,,,,,,,,,,
2020/06,삼보산업,009620,비철금속,53,701.1,640.0,61.1,42.4,18.7,9.2,20.9,-0.6,6.6,-2.0,8.5
2020/09,삼보산업,009620,비철금속,53,692.7,650.5,42.2,36.2,6.0,4.2,24.2,0.1,-13.8,2.5,-16.3
2020/12,삼보산업,009620,비철금속,53,814.5,726.5,88.0,47.1,40.8,13.7,120.9,27.1,-39.2,16.2,-55.4
2021/03,삼보산업,009620,비철금속,53,829.8,734.7,95.0,54.5,40.5,59.5,29.3,-2.9,68.0,4.5,63.5
2021/06,삼보산업,009620,비철금속,53,958.6,883.8,74.7,25.7,49.0,-41.0,19.5,-4.2,-15.1,7.3,-22.3
2021/09,삼보산업,009620,비철금속,53,816.7,764.2,52.4,35.8,16.6,13.0,41.7,-2.4,-14.1,0.8,-14.9
2021/12(E),삼보산업,009620,비철금속,53,,,,,,,,,,,
2020/06,삼보판지,023600,포장재,173,911.3,715.9,195.4,103.8,91.6,1.2,3.7,8.2,97.4,19.4,78.0
2020/09,삼보판지,023600,포장재,173,997.8,790.1,207.8,117.2,90.6,0.9,2.2,14.0,103.2,23.4,79.8
2020/12,삼보판지,023600,포장재,173,1207.1,918.2,288.9,123.0,165.9,1.2,1.5,-2.9,162.7,26.9,135.7
2021/03,삼보판지,023600,포장재,173,1236.5,879.5,356.9,121.4,235.5,1.9,2.5,22.3,257.2,50.3,206.8
2021/06,삼보판지,023600,포장재,173,1288.3,959.8,328.5,117.7,210.8,1.4,2.4,14.0,223.9,46.6,177.3
2021/09,삼보판지,023600,포장재,173,1327.4,1072.8,254.6,125.9,128.7,1.0,2.4,11.8,139.1,30.2,108.9
2021/12(E),삼보판지,023600,포장재,173,,,,,,,,,,,
2020/06,삼아제약,009300,제약,35,119.7,46.5,73.2,65.6,7.7,4.8,0.5,0.9,0.1,3.8,-3.7
2020/09,삼아제약,009300,제약,35,121.8,49.2,72.6,72.3,0.3,3.5,0.5,1.6,-5.5,1.3,-6.8
2020/12,삼아제약,009300,제약,35,141.8,58.0,83.8,72.8,10.9,6.2,0.5,-5.6,1.5,3.3,-1.8
