period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops,depreciation,amortization,price
2021/06,휴젤,145020,생물공학,146,29436.93,645.0,266.0,266.0,221.0,154.0,147.0,7.0,9887.0,1618.0,8269.0,7767.0,503.0,63.0,307.0,13.0,-10.0,38.0,268.0,954.0,41.21,23.86,7.31,6.09,19.56,18578.59,4575.0,53.62,64725.0,3.79,,,,12485455.0,29348.13,291.6,27.23,45.21,11.78,20816.67,27.98,8766.67,25.6,8.3,235769.78
2021/09,휴젤,145020,생물공학,146,18058.0,558.0,214.0,214.0,284.0,211.0,205.0,7.0,9976.0,1646.0,8330.0,7814.0,516.0,63.0,210.0,-461.0,-183.0,93.0,116.0,977.0,38.27,37.9,8.64,7.08,19.75,18904.0,5466.67,27.53,65116.67,2.31,,,,12485455.0,17518.9,284.3,15.09,50.95,7.18,20958.33,17.13,8783.33,26.3,13.0,144632.29
2021/12(E),휴젤,145020,생물공학,146,17652.8,543.0,196.0,,230.0,128.0,,,10316.0,1794.0,8522.0,8024.0,,61.0,,,,,,,36.17,23.52,,,21.05,,,,66866.67,2.2,,,,12385455.0,,215.3,,39.65,7.4,19866.67,18.18,8091.67,,,142528.47
2022/03(E),휴젤,145020,생물공학,146,,652.0,246.0,,,189.0,,,,,,,,,,,,,,,37.78,29.01,,,,,,,,,,,,12385455.0,,,,,,19983.33,,7683.33,,,
2022/06(E),휴젤,145020,생물공학,146,,713.0,248.0,,,,,,,,,,,,,,,,,,34.74,,,,,,,,,,,,,12385455.0,,,,,,20550.0,,7533.33,,,
2020/09,흥구석유,024060,석유와가스,217,907.2,290.0,,,5.0,4.0,4.0,,812.0,56.0,756.0,756.0,,15.0,9.0,5.0,-3.0,,9.0,5.0,0.16,1.41,2.16,2.0,7.4,4988.53,,,5040.0,1.2,,,,15000000.0,940.0,2.1,,0.72,,,,,-2.6,,6048.0
2020/12,흥구석유,024060,석유와가스,217,1050.72,305.0,-2.0,-2.0,51.0,40.0,40.0,,837.0,41.0,796.0,796.0,,15.0,-20.0,-4.0,,1.0,-20.0,4.0,-0.66,13.0,6.12,5.73,5.18,5252.15,,,5306.67,1.32,150.0,,55.0,15000000.0,1060.82,56.1,,18.39,,,,,5.1,,7004.8
2021/03,흥구석유,024060,석유와가스,217,1056.72,298.0,-1.0,-1.0,4.0,3.0,3.0,,844.0,67.0,777.0,777.0,,15.0,6.0,1.0,-1.0,,6.0,4.0,-0.3,0.95,5.94,5.37,8.6,5125.7,,,5180.0,1.36,,,,15000000.0,1072.82,3.5,16.95,1.17,,,,,,,7044.8
2021/06,흥구석유,024060,석유와가스,217,1272.64,340.0,-6.0,-6.0,-2.0,-1.0,-1.0,,817.0,41.0,776.0,776.0,,15.0,-17.0,23.0,-22.0,2.0,-19.0,5.0,-1.82,-0.35,5.94,5.57,5.34,5117.75,306.67,27.67,5173.33,1.64,,,,15000000.0,1272.04,0.9,20.32,0.26,1.03,8220.0,,,2.6,,8484.27
2021/09,흥구석유,024060,석유와가스,217,1482.0,333.0,2.0,2.0,6.0,5.0,5.0,,820.0,40.0,781.0,781.0,,15.0,,1.0,-1.0,1.0,-1.0,,0.5,1.41,5.99,5.63,5.08,5149.04,313.33,31.53,5206.67,1.9,,,,15000000.0,,3.4,,1.02,1.16,8506.67,-211.71,-46.67,-2.6,,9880.0
2021/12(E),흥구석유,024060,석유와가스,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,
2022/03(E),흥구석유,024060,석유와가스,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,
2022/06(E),흥구석유,024060,석유와가스,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,
2020/09,흥국,010240,기계,138,577.49,265.0,33.0,33.0,38.0,29.0,29.0,,1060.0,329.0,731.0,731.0,,62.0,82.0,7.0,-3.0,9.0,73.0,144.0,12.58,10.93,14.95,10.8,44.93,1120.55,,,6091.67,0.79,,,,12322696.0,661.19,48.7,,18.38,,,,,7.8,0.1,4686.39
2020/12,흥국,010240,기계,138,673.4,351.0,45.0,45.0,33.0,27.0,27.0,,1086.0,345.0,740.0,740.0,,62.0,-35.0,-7.0,-19.0,4.0,-39.0,140.0,12.74,7.82,16.61,11.7,46.64,1163.17,,,6166.67,0.91,180.0,,75.69,12322696.0,693.2,52.9,,15.07,,,,,8.0,0.1,5464.71
2021/03,흥국,010240,기계,138,1097.66,399.0,55.0,55.0,63.0,46.0,46.0,,1186.0,413.0,773.0,773.0,,62.0,24.0,-31.0,-22.0,29.0,-5.0,140.0,13.87,11.64,18.44,12.18,53.47,1204.87,,,6441.67,1.42,,,,12322696.0,1095.76,66.6,4.96,16.69,,,,,8.2,0.1,8907.63
2021/06,흥국,010240,기계,138,1519.56,389.0,41.0,41.0,38.0,29.0,29.0,,1153.0,349.0,804.0,804.0,,62.0,-47.0,-4.0,,6.0,-53.0,148.0,10.55,7.43,17.5,12.08,43.39,1251.74,1091.67,11.6,6700.0,1.89,,,,12322696.0,1457.56,51.8,6.63,13.32,1.08,11700.0,8.73,1450.0,9.1,0.1,12331.39
2021/09,흥국,010240,기계,138,817.0,307.0,26.0,26.0,34.0,24.0,24.0,,1145.0,307.0,839.0,839.0,,62.0,67.0,-23.0,4.0,9.0,57.0,150.0,8.38,7.95,16.21,11.54,36.57,1291.36,1050.0,6.48,6991.67,0.97,,,,12322696.0,814.0,40.9,3.84,13.32,0.57,12050.0,4.89,1391.67,9.2,0.2,6630.04
2021/12(E),흥국,010240,기계,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12322696.0,,,,,,,,,,,
2022/03(E),흥국,010240,기계,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12322696.0,,,,,,,,,,,
2022/06(E),흥국,010240,기계,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12322696.0,,,,,,,,,,,
2020/09,흥국에프엔비,189980,음료,145,543.66,145.0,12.0,12.0,15.0,12.0,12.0,,950.0,287.0,664.0,663.0,1.0,37.0,56.0,-23.0,-2.0,6.0,50.0,229.0,8.3,7.99,4.98,3.4,43.2,1965.29,,,1791.89,0.82,,,,36916539.0,391.86,25.3,,17.45,,,,,11.5,0.2,1472.67
2020/12,흥국에프엔비,189980,음료,145,776.31,104.0,-4.0,-4.0,3.0,10.0,11.0,-1.0,926.0,238.0,688.0,687.0,1.0,38.0,-2.0,40.0,-12.0,9.0,-11.0,197.0,-3.53,9.7,6.12,4.3,34.52,1948.88,,,1807.89,1.13,20.0,,33.23,38387127.0,682.21,7.5,,7.21,,,,,12.0,0.2,2022.32
2021/03,흥국에프엔비,189980,음료,145,2004.86,136.0,5.0,5.0,20.0,15.0,15.0,,965.0,262.0,702.0,701.0,1.0,38.0,-18.0,2.0,10.0,4.0,-22.0,205.0,3.31,11.11,9.0,6.3,37.37,1977.99,,,1844.74,2.86,,,,38387127.0,1897.06,18.2,23.77,13.38,,,,,12.2,0.2,5222.74
2021/06,흥국에프엔비,189980,음료,145,1451.22,176.0,31.0,31.0,32.0,20.0,20.0,,1200.0,476.0,723.0,722.0,1.0,38.0,58.0,-19.0,194.0,4.0,53.0,403.0,17.4,11.3,8.48,5.3,65.86,2030.32,152.63,25.02,1900.0,2.01,,,,38387127.0,1377.42,44.1,14.48,25.06,2.59,1476.32,32.98,115.79,12.6,0.2,3780.49
2021/09,흥국에프엔비,189980,음료,145,1538.0,231.0,31.0,31.0,36.0,27.0,27.0,1.0,1330.0,541.0,789.0,748.0,40.0,38.0,123.0,-326.0,1.0,5.0,118.0,414.0,13.61,11.84,10.33,6.35,68.59,2099.94,192.11,21.07,1968.42,2.06,,,,38387127.0,1250.2,51.4,10.32,22.25,2.38,1702.63,24.41,165.79,14.3,4.9,4006.55
2021/12(E),흥국에프엔비,189980,음료,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39997771.0,,6.0,,,,,,,,,
2022/03(E),흥국에프엔비,189980,음료,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39997771.0,,,,,,,,,,,
2022/06(E),흥국에프엔비,189980,음료,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39997771.0,,,,,,,,,,,
2020/09,희림,037440,건설,42,463.76,521.0,18.0,18.0,9.0,7.0,7.0,,1648.0,1094.0,553.0,527.0,26.0,70.0,-45.0,-12.0,-30.0,2.0,-47.0,548.0,3.43,1.35,7.07,2.15,197.84,796.02,,,3764.29,0.88,,,,13922475.0,176.06,33.9,,6.51,,,,,14.0,2.0,3331.02
2020/12,희림,037440,건설,42,494.56,588.0,55.0,55.0,43.0,34.0,34.0,,1679.0,1091.0,588.0,562.0,26.0,70.0,118.0,7.0,-9.0,3.0,115.0,543.0,9.39,5.84,8.97,2.88,185.59,845.34,,,4014.29,0.88,150.0,,55.15,13922475.0,326.36,70.8,,12.04,,,,,11.5,2.0,3552.24
2021/03,희림,037440,건설,42,602.8,452.0,9.0,9.0,8.0,6.0,6.0,,1662.0,1088.0,574.0,548.0,26.0,70.0,-89.0,-22.0,18.0,1.0,-90.0,569.0,1.9,1.27,10.01,3.2,189.46,826.4,,,3914.29,1.1,,,,13922475.0,315.8,22.2,1.92,4.91,,,,,11.6,2.0,4329.69
2021/06,희림,037440,건설,42,1032.3,531.0,15.0,15.0,12.0,10.0,10.0,,1644.0,1060.0,584.0,558.0,26.0,70.0,79.0,9.0,-91.0,6.0,73.0,503.0,2.9,1.8,10.52,3.5,181.56,840.09,407.14,18.11,3985.71,1.85,,,,13922475.0,809.1,29.4,5.18,5.54,0.49,14942.86,10.64,692.86,11.9,2.0,7414.63
2021/09,희림,037440,건설,42,1274.0,514.0,11.0,11.0,11.0,8.0,8.0,,1766.0,1174.0,592.0,565.0,26.0,70.0,84.0,-12.0,-12.0,6.0,78.0,512.0,2.13,1.58,10.57,3.38,198.45,851.76,414.29,21.97,4035.71,2.25,,,,13922475.0,1101.9,25.6,7.45,4.98,0.61,14892.86,14.16,642.86,12.4,2.0,9150.67
2021/12(E),희림,037440,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13922475.0,,,,,,,,,,,
2022/03(E),희림,037440,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13922475.0,,,,,,,,,,,
2022/06(E),희림,037440,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13922475.0,,,,,,,,,,,
2020/09,힘스,238490,디스플레이장비및부품,199,1456.04,279.0,42.0,42.0,33.0,29.0,29.0,,1044.0,226.0,818.0,818.0,,57.0,374.0,-27.0,-12.0,5.0,369.0,45.0,15.08,10.47,,,27.68,1372.39,,,7436.36,1.78,,,,11312236.0,1789.54,51.8,,18.57,,,,,8.4,1.4,12871.37
2020/12,힘스,238490,디스플레이장비및부품,199,1445.22,135.0,-31.0,-31.0,-58.0,-40.0,-40.0,,909.0,131.0,777.0,777.0,,57.0,-45.0,-13.0,-40.0,1.0,-46.0,5.0,-22.7,-29.62,,,16.88,1301.5,,,7063.64,1.86,150.0,,-42.32,11312236.0,1704.92,-27.3,,-20.22,,,,,3.0,0.4,12775.72
2021/03,힘스,238490,디스플레이장비및부품,199,1463.22,106.0,-19.0,-19.0,-3.0,-1.0,-1.0,,907.0,168.0,739.0,739.0,,57.0,-62.0,-9.0,-17.0,,-62.0,26.0,-17.82,-1.39,,,22.73,1268.9,,,6718.18,1.98,,,,11312236.0,1618.62,-14.7,11.52,-13.87,,,,,3.2,0.5,12934.84
2021/06,힘스,238490,디스플레이장비및부품,199,1308.3,144.0,-7.0,-7.0,-7.0,-4.0,-4.0,,943.0,208.0,735.0,735.0,,57.0,-18.0,-7.0,49.0,1.0,-19.0,76.0,-5.01,-2.69,,,28.32,1262.04,-145.45,-81.77,6681.82,1.78,,,,11312236.0,1438.7,-3.6,232.05,-2.5,1.97,6036.36,-87.22,-136.36,3.0,0.5,11565.35
2021/09,힘스,238490,디스플레이장비및부품,199,1106.0,207.0,51.0,51.0,63.0,52.0,52.0,,975.0,187.0,788.0,788.0,,57.0,112.0,-13.0,-30.0,1.0,111.0,40.0,24.79,25.35,0.87,0.69,23.8,1354.68,63.64,158.0,7163.64,1.4,,,,11312236.0,1344.8,55.8,131.84,26.96,1.87,5381.82,-184.33,-54.55,4.0,0.5,9777.02
2021/12(E),힘스,238490,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11312236.0,,,,,,,,,,,
2022/03(E),힘스,238490,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11312236.0,,,,,,,,,,,
2022/06(E),힘스,238490,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11312236.0,,,,,,,,,,,
2020/09,AJ네트웍스,095570,도로와철도운송,220,1473.0,3128.0,126.0,126.0,-59.0,-75.0,-85.0,10.0,17282.0,14038.0,3244.0,2946.0,298.0,468.0,23.0,551.0,-534.0,122.0,-100.0,12604.0,4.04,-2.39,-17.0,-3.45,432.74,601.24,,,6268.09,0.5,,,,46822295.0,-9540.3,706.8,,22.6,,,,,518.8,56.2,3145.94
2020/12,AJ네트웍스,095570,도로와철도운송,220,2109.74,880.0,-103.0,-103.0,-65.0,-8.0,,-7.0,15882.0,13002.0,2880.0,2851.0,29.0,468.0,422.0,-73.0,-783.0,67.0,355.0,11319.0,-11.73,-0.89,-1.3,-0.2,451.43,600.62,,,6065.96,0.74,210.0,,-24897.76,46822295.0,-8511.16,553.1,,62.85,,,,,495.5,24.3,4505.84
2021/03,AJ네트웍스,095570,도로와철도운송,220,2024.21,2561.0,45.0,45.0,-29.0,48.0,48.0,,15744.0,12866.0,2878.0,2851.0,27.0,468.0,-44.0,-5.0,117.0,133.0,-177.0,9907.0,1.77,1.87,-0.1,-0.03,447.04,590.4,,,6065.96,0.71,,,,46822295.0,-7087.39,532.8,-2.48,20.8,,,,,462.6,13.8,4323.18
2021/06,AJ네트웍스,095570,도로와철도운송,220,2718.17,2614.0,119.0,119.0,134.0,145.0,147.0,-2.0,13582.0,10563.0,3019.0,2987.0,32.0,468.0,154.0,821.0,-877.0,42.0,112.0,9759.0,4.54,5.55,3.62,0.7,349.83,621.8,,,6355.32,0.91,,,,46822295.0,-6167.13,565.8,-2.61,21.64,0.3,19538.3,14.54,397.87,393.9,10.3,5805.29
2021/09,AJ네트웍스,095570,도로와철도운송,220,2650.0,2826.0,146.0,146.0,95.0,570.0,568.0,2.0,13577.0,9911.0,3666.0,3638.0,28.0,468.0,-166.0,1033.0,-603.0,150.0,-317.0,8816.0,5.17,20.17,23.17,4.89,270.38,743.18,,,7740.43,0.73,,,,46822295.0,-5024.5,559.3,-2.27,19.79,0.3,18895.74,12.8,440.43,405.0,10.3,5659.7
2021/12(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46822295.0,,,,,,,,,,,
2022/03(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46822295.0,,,,,,,,,,,
2022/06(E),AJ네트웍스,095570,도로와철도운송,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46822295.0,,,,,,,,,,,
2020/09,AK홀딩스,006840,화학,140,2274.69,6448.0,-319.0,-319.0,-425.0,-529.0,-315.0,-214.0,41194.0,28886.0,12308.0,6893.0,5415.0,662.0,-122.0,452.0,315.0,381.0,-503.0,18839.0,-4.94,-8.21,-19.88,-6.17,234.7,940.96,,,53023.08,0.33,,,,13247561.0,-13393.51,521.8,,8.09,,,,,699.3,38.8,17170.63
2020/12,AK홀딩스,006840,화학,140,3276.14,6437.0,-857.0,-857.0,-1122.0,-256.0,-140.0,-116.0,41521.0,29086.0,12435.0,6686.0,5749.0,662.0,5.0,-1069.0,1977.0,452.0,-447.0,20070.0,-13.32,-3.98,-20.57,-6.27,233.9,915.13,,,51430.77,0.49,400.0,,-37.22,13247561.0,-12741.16,-45.5,,-0.71,,,,,617.1,40.3,24730.14
2021/03,AK홀딩스,006840,화학,140,3501.3,6829.0,-395.0,-395.0,-628.0,-490.0,-283.0,-207.0,41974.0,30151.0,11824.0,6366.0,5458.0,662.0,-171.0,-123.0,-233.0,376.0,-547.0,20265.0,-5.78,-7.17,-18.93,-5.51,255.0,864.54,,,48969.23,0.55,,,,13247561.0,-13222.9,37.4,-34.28,0.55,,,,,557.7,39.1,26429.77
2021/06,AK홀딩스,006840,화학,140,4277.31,8394.0,-174.0,-174.0,-268.0,-215.0,-117.0,-98.0,43056.0,31514.0,11542.0,6199.0,5343.0,662.0,13.0,-68.0,190.0,225.0,-212.0,21137.0,-2.07,-2.56,-12.84,-3.53,273.04,846.91,-6576.92,-5.0,47684.62,0.69,,,,13247561.0,-13197.89,428.0,-14.01,5.1,0.15,216215.38,-2.45,-13423.08,555.9,37.7,32287.53
2021/09,AK홀딩스,006840,화학,140,2775.0,8324.0,-647.0,-647.0,-946.0,-770.0,-459.0,-311.0,43617.0,32796.0,10821.0,5805.0,5016.0,662.0,-53.0,-4.0,643.0,448.0,-501.0,21990.0,-7.77,-9.25,-15.73,-4.08,303.07,777.49,-7684.62,-2.78,44653.85,0.48,,,,13247561.0,-14961.0,-256.0,-91.28,-3.08,0.09,230646.15,-1.34,-15946.15,561.8,38.3,20947.25
2021/12(E),AK홀딩스,006840,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13247561.0,,,,,,,,,,,
2022/03(E),AK홀딩스,006840,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13247561.0,,,,,,,,,,,
2022/06(E),AK홀딩스,006840,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13247561.0,,,,,,,,,,,
2020/09,BGF리테일,282330,백화점과일반상점,198,21308.74,16827.0,636.0,636.0,675.0,515.0,515.0,,24476.0,17754.0,6722.0,6722.0,,173.0,1532.0,-1009.0,-514.0,485.0,1047.0,256.0,3.78,3.06,20.7,5.7,264.14,3659.28,,,39541.18,3.17,,,,17283906.0,21264.34,1559.7,,9.27,,,,,858.3,33.8,123286.6
2020/12,BGF리테일,282330,백화점과일반상점,198,23412.48,15563.0,356.0,356.0,337.0,262.0,262.0,,23712.0,16743.0,6968.0,6968.0,,173.0,1208.0,-681.0,-499.0,484.0,724.0,6196.0,2.28,1.68,18.6,5.4,240.28,3803.31,,,40988.24,3.36,2400.0,,158.46,17283906.0,17456.58,1277.2,,8.21,,,,,899.0,33.0,135458.27
2021/03,BGF리테일,282330,백화점과일반상점,198,27313.77,15012.0,216.0,216.0,214.0,159.0,159.0,,24211.0,17499.0,6711.0,6711.0,,173.0,768.0,-218.0,-541.0,225.0,543.0,238.0,1.44,1.06,20.11,5.5,260.75,3654.59,,,39476.47,4.07,,,,17283906.0,27324.37,1141.9,5.16,7.61,,,,,886.4,31.6,158030.08
2021/06,BGF리테일,282330,백화점과일반상점,198,31008.96,17004.0,586.0,586.0,606.0,468.0,468.0,,25592.0,18414.0,7178.0,7178.0,,173.0,2527.0,-1584.0,-964.0,464.0,2063.0,238.0,3.45,2.75,20.97,5.84,256.55,3924.43,8258.82,22.09,42223.53,4.32,,,,17283906.0,30998.86,1559.2,5.6,9.17,0.48,378858.82,17.28,10552.94,913.3,29.5,179409.45
2021/09,BGF리테일,282330,백화점과일반상점,198,27914.0,18366.0,695.0,695.0,643.0,493.0,493.0,,25919.0,18250.0,7669.0,7669.0,,173.0,924.0,-227.0,-583.0,500.0,424.0,227.0,3.78,2.69,19.2,5.48,237.96,4208.98,8129.41,20.2,45111.76,3.64,,,,17283906.0,28029.1,1632.7,5.0,8.89,0.42,387911.76,15.06,10900.0,943.0,28.7,161502.85
2021/12(E),BGF리테일,282330,백화점과일반상점,198,28974.9,17085.0,487.0,,508.0,384.0,379.0,,26737.0,18601.0,8162.0,8185.0,,171.0,,,,,,,2.85,2.25,,,227.89,,8817.65,19.33,48147.06,3.54,,,,17283906.0,,463.2,,2.71,0.43,396864.71,14.6,11670.59,,,167640.93
2022/03(E),BGF리테일,282330,백화점과일반상점,198,,16363.0,294.0,,303.0,222.0,243.0,,,,,,,,,,,,,,1.8,1.35,,,,,9311.76,,,,,,,17283906.0,,,,,,404811.76,,12129.41,,,
2022/06(E),BGF리테일,282330,백화점과일반상점,198,,18375.0,682.0,,692.0,528.0,526.0,,,,,,,,,,,,,,3.71,2.87,,,,,9652.94,,,,,,,17283906.0,,,,,,412876.47,,12694.12,,,
2020/09,BGF,027410,백화점과일반상점,198,3924.7,492.0,116.0,116.0,147.0,150.0,174.0,-24.0,16625.0,1232.0,15393.0,15095.0,298.0,957.0,26.0,-325.0,121.0,138.0,-112.0,343.0,23.47,30.42,1.68,0.86,8.0,1511.62,,,15723.96,0.26,,,,95716791.0,3687.5,141.1,,28.68,,,,,22.4,3.0,4100.33
2020/12,BGF,027410,백화점과일반상점,198,4682.55,301.0,-12.0,-12.0,-67.0,-16.0,15.0,-31.0,16582.0,1211.0,15371.0,15105.0,266.0,957.0,-9.0,13.0,-21.0,36.0,-44.0,199.0,-4.04,-5.47,1.81,1.08,7.88,1512.94,,,15734.38,0.31,110.0,,709.23,95716791.0,4565.25,-21.5,,-7.14,,,,,23.0,3.5,4892.09
2021/03,BGF,027410,백화점과일반상점,198,6720.56,386.0,-31.0,-31.0,-12.0,219.0,248.0,-29.0,16627.0,1271.0,15356.0,15274.0,82.0,957.0,-53.0,64.0,-2.0,26.0,-78.0,136.0,-8.14,56.88,3.61,2.67,8.28,1527.83,,,15910.42,0.44,,,,95716791.0,6683.26,-9.1,32.41,-2.36,,,,,18.3,3.5,7021.3
2021/06,BGF,027410,백화점과일반상점,198,6306.62,521.0,53.0,53.0,50.0,44.0,80.0,-36.0,16743.0,1216.0,15527.0,15382.0,145.0,957.0,101.0,-68.0,7.0,33.0,68.0,698.0,10.25,8.38,3.41,2.38,7.84,1536.11,538.54,12.2,16022.92,0.41,,,,95716791.0,5747.12,79.5,30.25,15.26,3.71,1770.83,50.05,131.25,22.3,3.5,6588.83
2021/09,BGF,027410,백화점과일반상점,198,4939.0,580.0,80.0,80.0,95.0,78.0,118.0,-39.0,17087.0,1488.0,15598.0,15463.0,135.0,957.0,-36.0,-35.0,288.0,63.0,-99.0,862.0,13.76,13.5,3.02,1.93,9.54,1548.32,480.21,10.71,16107.29,0.32,,,,95716791.0,4432.3,106.4,28.54,18.34,2.76,1862.5,54.88,93.75,22.9,3.5,5160.01
2021/12(E),BGF,027410,백화점과일반상점,198,4653.0,510.0,20.0,,20.0,20.0,,,16830.0,1210.0,15620.0,15510.0,,960.0,,,,,,,3.92,3.92,,,7.75,,,,16156.25,0.3,,,,95716791.0,,20.0,,3.92,2.33,2080.21,38.14,127.08,,,4861.22
2022/03(E),BGF,027410,백화점과일반상점,198,,459.0,18.0,,30.0,30.0,,,,,,,,,,,,,,,3.81,6.54,,,,,,,,,,,,95716791.0,,,,,,2156.25,,178.12,,,
2022/06(E),BGF,027410,백화점과일반상점,198,,578.0,58.0,,80.0,60.0,,,,,,,,,,,,,,,10.11,10.37,,,,,,,,,,,,95716791.0,,,,,,2215.62,,183.33,,,
2020/09,BNK금융지주,138930,은행,20,16502.45,11215.0,1914.0,1914.0,1910.0,1474.0,1365.0,108.0,1109884.0,1014055.0,95830.0,86855.0,8975.0,16297.0,3569.0,-1731.0,-5820.0,221.0,,155802.0,17.07,13.14,5.67,0.48,1058.19,488.46,,,26642.64,0.19,,,,325935246.0,,1914.0,,17.07,,,,,,,5063.11
2020/12,BNK금융지주,138930,은행,20,18330.48,17396.0,1155.0,1155.0,1051.0,827.0,719.0,108.0,1141569.0,1045306.0,96263.0,87288.0,8975.0,16297.0,-1992.0,-6094.0,9227.0,332.0,,163611.0,6.64,4.75,6.11,0.51,1085.89,491.12,,,26775.46,0.21,320.0,,144.38,325935246.0,,1154.7,,6.64,,,,,,,5623.96
2021/03,BNK금융지주,138930,은행,20,21992.5,12054.0,2627.0,2627.0,2668.0,2035.0,1927.0,108.0,1197688.0,1100743.0,96945.0,87970.0,8975.0,16297.0,-9294.0,-1930.0,13763.0,128.0,,169408.0,21.8,16.89,6.67,0.55,1135.43,495.3,,,26984.66,0.25,,,,325935246.0,,2627.2,,21.8,,,,,,,6747.51
2021/06,BNK금융지주,138930,은행,20,25336.08,13142.0,3739.0,3739.0,3873.0,2861.0,2753.0,108.0,1253346.0,1153885.0,99461.0,90486.0,8975.0,16297.0,-3964.0,-3373.0,6765.0,288.0,,183941.0,28.45,21.77,7.66,0.61,1160.14,510.74,2074.85,3.75,27756.44,0.28,,,,325935246.0,,3739.0,,28.45,0.47,16505.21,2.69,2894.17,,,7773.35
2021/09,BNK금융지주,138930,은행,20,25097.0,13121.0,3671.0,3671.0,3860.0,2862.0,2754.0,108.0,1298199.0,1196173.0,102027.0,93052.0,8975.0,16297.0,-1613.0,-4164.0,7360.0,250.0,,193935.0,27.97,21.81,9.06,0.71,1172.41,526.48,2500.92,3.08,28543.56,0.27,,,,325935246.0,,3670.5,,27.97,0.45,17089.88,2.24,3433.13,,,7700.0
2021/12(E),BNK금융지주,138930,은행,20,26938.39,,1291.0,,1834.0,962.0,804.0,,1260261.0,1158485.0,101776.0,92891.0,,16300.0,,,,,,,,,,,1138.27,,2526.99,3.27,28494.17,0.29,,,,325935246.0,,1617.6,,,,,2.38,3474.85,,,8264.95
2022/03(E),BNK금융지주,138930,은행,20,,,3512.0,,3670.0,2680.0,2497.0,,,,,,,,,,,,,,,,,,,,2701.84,,,,,,,325935246.0,,,,,,,,3746.32,,,
2022/06(E),BNK금융지주,138930,은행,20,,,3388.0,,3920.0,2860.0,2447.0,,,,,,,,,,,,,,,,,,,,2607.98,,,,,,,325935246.0,,,,,,,,3638.65,,,
2020/09,BYC,001460,"섬유,의류,신발,호화품",134,1866.06,368.0,58.0,58.0,47.0,23.0,23.0,,7059.0,2617.0,4442.0,4443.0,,42.0,62.0,-51.0,-52.0,1.0,61.0,1421.0,15.87,6.23,4.08,2.48,58.9,10520.2,,,444300.0,0.42,,,,624615.0,999.46,94.0,,25.54,,,,,31.2,0.2,298753.63
2020/12,BYC,001460,"섬유,의류,신발,호화품",134,2399.31,446.0,64.0,64.0,121.0,73.0,73.0,,6791.0,2265.0,4527.0,4527.0,,42.0,165.0,78.0,-344.0,2.0,163.0,1069.0,14.25,16.39,4.12,2.66,50.03,10704.33,,,452700.0,0.53,1100.0,,12.71,624615.0,1783.81,151.6,,33.99,,,,,30.2,0.2,384126.22
2021/03,BYC,001460,"섬유,의류,신발,호화품",134,2889.81,353.0,57.0,57.0,91.0,68.0,68.0,,6856.0,2270.0,4586.0,4587.0,,42.0,70.0,40.0,-2.0,,70.0,1069.0,16.04,19.39,5.61,3.65,49.49,10845.25,,,458700.0,0.63,,,,624615.0,2381.71,127.7,4.69,36.18,,,,,30.0,0.3,462654.6
