period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops,depreciation,amortization,price
2022/06(E),링네트,042500,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15356878.0,,,,,,,,,,,
2020/09,링크제니시스,219420,소프트웨어,33,693.0,36.0,12.0,12.0,5.0,5.0,6.0,,414.0,81.0,332.0,330.0,2.0,11.0,12.0,40.0,34.0,,12.0,42.0,32.35,15.13,3.68,2.8,24.43,3165.83,,,3300.0,2.1,,,,10000000.0,807.8,5.4,,15.0,,,,,0.7,,6930.0
2020/12,링크제니시스,219420,소프트웨어,33,815.85,45.0,11.0,11.0,-4.0,-4.0,-3.0,,420.0,84.0,335.0,333.0,2.0,11.0,19.0,25.0,7.0,,19.0,41.0,23.68,-8.85,1.73,1.29,25.16,3147.71,,,3330.0,2.45,,,,10000000.0,977.75,-3.7,,-8.22,,,,,0.7,0.1,8158.5
2021/03,링크제니시스,219420,소프트웨어,33,863.76,36.0,10.0,10.0,13.0,13.0,14.0,-1.0,446.0,79.0,367.0,366.0,1.0,11.0,6.0,-22.0,17.0,,5.0,40.0,28.03,37.13,6.49,5.4,21.42,3329.44,,,3660.0,2.36,,,,10000000.0,1029.76,14.0,42.38,38.89,,,,,0.7,0.1,8637.6
2021/06,링크제니시스,219420,소프트웨어,33,916.32,34.0,6.0,6.0,7.0,1.0,2.0,-1.0,450.0,82.0,368.0,368.0,,11.0,3.0,-63.0,-6.0,3.0,,31.0,18.73,2.63,5.35,3.89,22.39,3267.51,172.73,48.23,3345.45,2.49,,,,11469507.0,1024.42,7.2,44.73,21.18,6.07,1372.73,23.5,354.55,0.7,0.1,7989.18
2021/09,링크제니시스,219420,소프트웨어,33,877.0,31.0,6.0,6.0,11.0,11.0,10.0,1.0,464.0,78.0,386.0,380.0,6.0,11.0,11.0,-41.0,18.0,1.0,10.0,30.0,18.49,34.89,6.42,4.86,20.35,3357.84,209.09,38.13,3454.55,2.31,,,,11469507.0,974.2,11.9,33.14,38.39,6.01,1327.27,26.58,300.0,0.9,0.1,7646.36
2021/12(E),링크제니시스,219420,소프트웨어,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11469507.0,,,,,,,,,,,
2022/03(E),링크제니시스,219420,소프트웨어,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11469507.0,,,,,,,,,,,
2022/06(E),링크제니시스,219420,소프트웨어,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11469507.0,,,,,,,,,,,
2020/09,마니커에프앤지,195500,식품,38,920.35,242.0,10.0,10.0,8.0,6.0,6.0,,878.0,483.0,395.0,395.0,,54.0,14.0,-234.0,146.0,2.0,12.0,333.0,3.96,2.49,7.68,4.06,122.47,613.46,,,3291.67,2.33,,,,12101348.0,718.85,-4.3,,-1.78,,,,,-13.3,-0.4,7605.35
