period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum
2021/03,HB테크놀러지,078150,디스플레이장비및부품,199,2404.8,490.0,-51.0,-51.0,-26.0,-24.0,-6.0,-18.0,2778.0,741.0,2037.0,1670.0,367.0,395.0,-84.0,-12.0,-14.0,8.0,-91.0,374.0,-10.37,-4.97,-2.5,-2.98,36.4,341.81,-8.0,,2192.0,1.44,,,,78990426.0
2021/06,HB테크놀러지,078150,디스플레이장비및부품,199,2356.44,403.0,-71.0,-71.0,-70.0,-64.0,-60.0,-4.0,2737.0,619.0,2119.0,1614.0,504.0,395.0,-86.0,-180.0,48.0,11.0,-97.0,277.0,-17.58,-15.8,-6.07,-4.91,29.2,327.89,-76.0,,2120.0,1.46,,,,78990426.0
2021/09,HB테크놀러지,078150,디스플레이장비및부품,199,1931.0,286.0,-68.0,-68.0,-44.0,-44.0,-44.0,,2728.0,886.0,1843.0,1838.0,4.0,395.0,115.0,358.0,-569.0,2.0,113.0,534.0,-23.67,-15.28,-11.96,-8.4,48.07,385.43,-55.0,,2414.0,0.99,,,,78990426.0
2021/12(E),HB테크놀러지,078150,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78990426.0
2022/03(E),HB테크놀러지,078150,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78990426.0
2022/06(E),HB테크놀러지,078150,디스플레이장비및부품,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78990426.0
2020/09,에이치시티,072990,전자장비와기기,197,804.09,138.0,32.0,32.0,32.0,28.0,27.0,,827.0,279.0,548.0,547.0,1.0,35.0,63.0,-26.0,-26.0,30.0,32.0,180.0,23.41,19.91,15.93,10.33,50.97,1517.77,388.0,9.96,7918.0,1.47,,,,7071518.0
2020/12,에이치시티,072990,전자장비와기기,197,1012.68,139.0,23.0,23.0,22.0,33.0,33.0,,846.0,263.0,583.0,582.0,1.0,35.0,37.0,-27.0,,27.0,10.0,180.0,16.69,23.62,19.16,12.94,45.18,1628.14,462.0,9.98,8416.0,1.74,49.0,0.35,10.36,7071518.0
2021/03,에이치시티,072990,전자장비와기기,197,907.41,151.0,34.0,34.0,33.0,28.0,28.0,,845.0,235.0,610.0,609.0,1.0,35.0,40.0,-32.0,-15.0,33.0,7.0,166.0,22.27,18.84,20.35,14.26,38.6,1682.64,401.0,8.14,8811.0,1.49,,,,7071518.0
2021/06,에이치시티,072990,전자장비와기기,197,1114.28,152.0,31.0,31.0,31.0,29.0,29.0,,879.0,252.0,627.0,626.0,1.0,35.0,18.0,-30.0,,40.0,-22.0,168.0,20.53,18.9,20.37,13.81,40.1,1733.47,403.0,9.72,9063.0,1.78,,,,7071518.0
2021/09,에이치시티,072990,전자장비와기기,197,962.0,165.0,32.0,32.0,31.0,28.0,28.0,,900.0,241.0,659.0,658.0,1.0,35.0,29.0,-39.0,5.0,61.0,-31.0,179.0,19.15,16.94,19.48,13.66,36.63,1812.99,393.0,9.15,9513.0,1.6,,,,7071518.0
2021/12(E),에이치시티,072990,전자장비와기기,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6995611.0
2022/03(E),에이치시티,072990,전자장비와기기,197,,170.0,34.0,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,6995611.0
2022/06(E),에이치시티,072990,전자장비와기기,197,,174.0,33.0,,,,,,,,,,,,,,,,,,18.97,,,,,,,,,,,,,6995611.0
2020/09,HRS,036640,화학,140,555.93,172.0,29.0,29.0,34.0,26.0,26.0,,894.0,111.0,783.0,783.0,,82.0,2.0,-1.0,-66.0,1.0,1.0,24.0,17.09,15.33,9.22,7.47,14.16,870.0,161.0,8.16,4901.0,0.71,,,,16354800.0
2020/12,HRS,036640,화학,140,901.32,191.0,34.0,34.0,40.0,32.0,32.0,,921.0,109.0,812.0,812.0,,82.0,39.0,-110.0,-1.0,,39.0,25.0,17.9,16.68,11.93,10.11,13.4,905.98,194.0,10.05,5080.0,1.11,150.0,,75.4,16354800.0
2021/03,HRS,036640,화학,140,938.4,178.0,31.0,31.0,35.0,27.0,27.0,,949.0,133.0,816.0,816.0,,82.0,27.0,-5.0,-1.0,5.0,22.0,25.0,17.48,15.27,13.03,10.8,16.34,909.98,167.0,9.4,5105.0,1.15,,,,16354800.0
2021/06,HRS,036640,화학,140,1019.2,194.0,34.0,34.0,125.0,93.0,93.0,,1074.0,164.0,910.0,910.0,,82.0,-9.0,-1.0,20.0,5.0,-13.0,70.0,17.72,48.05,21.39,17.86,18.09,1024.18,571.0,5.86,5691.0,1.12,,,,16354800.0
2021/09,HRS,036640,화학,140,1195.07,210.0,35.0,35.0,41.0,31.0,31.0,,1124.0,183.0,941.0,941.0,,82.0,16.0,77.0,,4.0,12.0,69.0,16.78,14.51,21.22,18.13,19.44,1061.51,187.0,6.7,5889.0,1.27,,,,16354800.0
2021/12,HRS,036640,화학,140,1407.0,258.0,78.0,78.0,76.0,57.0,57.0,,1207.0,212.0,995.0,995.0,,82.0,-48.0,-21.0,17.0,4.0,-52.0,86.0,30.48,22.16,23.05,19.57,21.35,1127.02,349.0,5.68,6224.0,1.16,200.0,,56.02,16354800.0
2022/03(E),HRS,036640,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16354800.0
2022/06(E),HRS,036640,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16354800.0
2022/09(E),HRS,036640,화학,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16354800.0
2020/09,에이치앤비디자인,227100,핸드셋,207,277.84,81.0,-14.0,-14.0,-14.0,-10.0,-10.0,,366.0,214.0,151.0,151.0,,17.0,12.0,-30.0,27.0,30.0,-18.0,111.0,-17.81,-12.98,-31.32,-14.86,141.72,772.75,-289.0,,3961.0,1.84,,,,3820593.0
2020/12,에이치앤비디자인,227100,핸드셋,207,205.45,108.0,-29.0,-29.0,-98.0,-116.0,-116.0,,223.0,187.0,35.0,35.0,,17.0,16.0,-26.0,-3.0,4.0,12.0,110.0,-27.25,-107.94,-195.85,-65.67,533.24,89.06,-3047.0,,920.0,5.87,,,,3820593.0
2021/03,에이치앤비디자인,227100,핸드셋,207,299.64,76.0,-12.0,-12.0,-13.0,-13.0,-13.0,,215.0,192.0,22.0,22.0,,17.0,-21.0,28.0,-5.0,1.0,-22.0,106.0,-15.29,-16.91,-231.17,-68.7,856.45,13.24,-338.0,,588.0,13.62,,,,3820593.0
2021/06,에이치앤비디자인,227100,핸드셋,207,725.58,62.0,-21.0,-21.0,-96.0,-96.0,-96.0,,213.0,126.0,87.0,87.0,,23.0,-9.0,6.0,43.0,,-10.0,70.0,-33.65,-156.16,-216.83,-89.64,144.07,267.97,-2414.0,,1682.0,8.34,,,,5178382.0
2021/09,에이치앤비디자인,227100,핸드셋,207,759.0,64.0,-9.0,-9.0,-18.0,-18.0,-18.0,,371.0,261.0,110.0,107.0,3.0,24.0,14.0,-53.0,12.0,5.0,9.0,152.0,-14.27,-28.39,-188.69,-66.1,238.05,327.72,-339.0,,1948.0,5.5,,,,5468645.0
2021/12(E),에이치앤비디자인,227100,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10786221.0
2022/03(E),에이치앤비디자인,227100,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10786221.0
2022/06(E),에이치앤비디자인,227100,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10786221.0
2020/09,에이치엔티,176440,핸드셋,207,1610.86,187.0,-25.0,-25.0,-50.0,-50.0,-50.0,1.0,714.0,237.0,476.0,478.0,-2.0,86.0,-11.0,33.0,-25.0,,-11.0,157.0,-13.54,-26.66,-52.83,-26.88,49.79,479.89,-59.0,,570.0,3.37,,,,85739345.0
2020/12,에이치엔티,176440,핸드셋,207,1609.3,-466.0,-20.0,-20.0,-77.0,-111.0,-88.0,-23.0,555.0,342.0,213.0,190.0,22.0,86.0,14.0,-36.0,19.0,-1.0,16.0,35.0,4.29,23.88,-68.93,-27.51,161.0,152.7,-103.0,,227.0,8.47,,,,85739345.0
2021/03,에이치엔티,176440,핸드셋,207,1610.4,1.0,-25.0,-25.0,-13.0,-13.0,-13.0,,305.0,42.0,262.0,264.0,-2.0,86.0,-23.0,155.0,-131.0,,-23.0,13.0,-2255.73,-1147.85,-47.26,-29.88,16.03,251.96,-15.0,,315.0,6.1,,,,85739345.0
2021/06,에이치엔티,176440,핸드셋,207,1612.68,23.0,-17.0,-17.0,21.0,24.0,26.0,-2.0,397.0,128.0,269.0,267.0,2.0,86.0,-23.0,2.0,14.0,4.0,-27.0,67.0,-71.99,102.09,-29.99,-20.77,47.64,235.82,30.0,,318.0,6.04,,,,85739345.0
2021/09,에이치엔티,176440,핸드셋,207,1646.0,11.0,-9.0,-9.0,-46.0,-47.0,-47.0,,251.0,87.0,163.0,167.0,-4.0,86.0,-18.0,35.0,5.0,-2.0,-16.0,57.0,-82.19,-416.54,-36.02,-24.47,53.34,114.88,-55.0,,199.0,9.64,,,,85739345.0
2021/12(E),에이치엔티,176440,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85739345.0
2022/03(E),에이치엔티,176440,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85739345.0
2022/06(E),에이치엔티,176440,핸드셋,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85739345.0
2020/09,HLB,028300,조선,215,54561.06,114.0,-199.0,-199.0,-184.0,-154.0,39.0,-194.0,6574.0,1434.0,5140.0,4761.0,379.0,263.0,-156.0,779.0,-258.0,4.0,-160.0,479.0,-175.01,-135.62,-13.47,-12.93,27.9,2605.32,38.0,,4532.0,11.46,,,,105176735.0
2020/12,HLB,028300,조선,215,48939.6,228.0,-256.0,-256.0,-133.0,-118.0,-226.0,108.0,7065.0,1490.0,5574.0,4798.0,777.0,265.0,-178.0,120.0,453.0,2.0,-180.0,550.0,-112.48,-51.83,-24.1,-16.6,26.74,2683.89,-214.0,,4539.0,10.2,,,,105825309.0
2021/03,HLB,028300,조선,215,41524.64,76.0,-188.0,-188.0,-221.0,-221.0,-184.0,-37.0,6990.0,1453.0,5537.0,4762.0,775.0,530.0,-137.0,9.0,-3.0,6.0,-143.0,471.0,-248.07,-292.14,-25.39,-18.41,26.25,1273.06,-174.0,,4494.0,8.72,,,,106071670.0
2021/06,HLB,028300,조선,215,35402.43,84.0,-210.0,-210.0,-350.0,-350.0,-319.0,-31.0,6687.0,1458.0,5229.0,4487.0,742.0,530.0,-149.0,-64.0,-12.0,8.0,-157.0,466.0,-250.13,-416.78,-14.66,-12.38,27.89,1224.45,-301.0,,4235.0,7.89,,,,106077594.0
2021/09,HLB,028300,조선,215,36301.0,101.0,-252.0,-252.0,70.0,70.0,99.0,-29.0,6949.0,1348.0,5601.0,4859.0,742.0,533.0,-161.0,1.0,-4.0,3.0,-164.0,273.0,-248.4,68.72,-13.1,-9.16,24.06,1270.91,93.0,,4563.0,12.38,,,,106610064.0
2021/12(E),HLB,028300,조선,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106610064.0
2022/03(E),HLB,028300,조선,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106610064.0
2022/06(E),HLB,028300,조선,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106610064.0
