period,shareName,shareCode,marketName,marketCode,assets,currentAssets,inventory,shortTermFinancialAssets,accountsReceivables,contractAssets,otherCurrentAssets,cashAndEquivalents,nonCurrentAssetsHeldForSaleOrDisposedAssets,nonCurrentAssets,tangibleAssets,intangibleAssets,InvestmentProperty,investments,longTermAccountsReceivables,deferredIncomeTaxAssets,otherNonCurrentAssets,liabilities,currentLiabilities,shorTermBonds,shorTermBorrowings,longTernCurrentLiabilities,currentFinancialLiabilities,accountsPayable,currentPortionOfProvision,currentDeferredIncomeTaxLiabilities,contractLiabilities,returnLiabilities,otherCurrentLiabilities,nonCurrentLiabilities,bonds,longTermBorrowings,nonCurrentFinancialLiabilities,longTermAccountsPayable,nonCurrentPortionOfProvision,deferredIncomeTaxLiabilities,otherNonCurrentLiabilities,interestBearingLiabilities,netDebt,capex,equity,controllingInterest,commonStock,hybridSecurities,capitalSurplus,capitalAdjustments,retainedEarnings
2021/06,큐로컴,040350,IT서비스,154,878.3,180.5,0.1,120.6,36.7,,7.9,14.2,,697.9,4.3,20.2,,673.3,,,,276.7,243.0,24.3,183.0,,2.4,33.3,,,,,0.1,33.7,,0.3,1.7,0.1,,,,209.3,195.1,1.1,601.6,598.5,629.9,,1598.8,-5.4,-1610.0
2021/09,큐로컴,040350,IT서비스,154,854.6,171.6,0.1,112.0,40.2,,13.3,5.0,,683.0,4.1,20.5,,658.4,,,,278.0,244.3,25.0,180.0,,3.6,35.3,,,,,0.4,33.7,,0.3,0.9,0.1,,,,206.4,201.5,1.4,576.6,577.3,629.9,,1598.8,-5.4,-1632.6
2021/12(E),큐로컴,040350,IT서비스,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,큐로홀딩스,051780,방송과엔터테인먼트,204,519.4,227.4,65.3,45.1,31.1,,45.5,39.2,,292.0,128.2,14.0,,129.8,,20.0,,248.7,193.7,130.5,39.0,,0.8,16.0,,-0.4,,,7.8,55.0,,47.5,0.7,2.4,,,,218.5,179.0,0.8,270.6,241.5,445.3,,878.2,-45.6,-990.4
2020/09,큐로홀딩스,051780,방송과엔터테인먼트,204,616.6,211.4,100.6,15.2,36.0,,46.5,10.5,,405.2,191.0,80.8,,93.9,20.0,19.6,,342.1,266.9,131.7,80.6,,0.6,35.3,,1.2,,,17.6,75.2,,44.3,,,,,16.1,257.1,246.3,3.1,274.5,240.8,445.3,,878.2,-60.1,-975.2
2020/12,큐로홀딩스,051780,방송과엔터테인먼트,204,602.2,266.4,132.9,52.0,30.5,,16.4,27.7,,335.8,181.6,8.4,,112.3,,9.8,23.7,232.5,163.2,35.2,54.0,,5.2,29.6,,,,,39.1,69.4,,40.8,12.3,1.3,,,,145.8,113.5,3.2,369.7,346.6,603.0,,903.9,-51.4,-1053.2
2021/03,큐로홀딩스,051780,방송과엔터테인먼트,204,602.2,266.6,159.2,36.9,35.4,,16.0,13.0,,335.6,182.4,9.3,,110.0,,10.2,23.7,219.6,148.5,15.2,54.0,,5.2,33.2,,,,,40.9,71.0,,42.3,9.2,2.8,,,,125.8,109.1,0.1,382.7,363.4,603.0,,903.0,-51.4,-1038.0
2021/06,큐로홀딩스,051780,방송과엔터테인먼트,204,660.8,257.5,201.1,3.8,23.5,,14.1,10.5,,403.3,179.9,15.2,,173.8,,10.2,24.2,324.0,212.4,,130.3,,5.3,49.7,,,,,27.0,111.6,,80.1,7.9,3.2,,,,223.6,208.3,1.0,336.8,361.7,603.0,,903.9,-51.4,-1043.0
2021/09,큐로홀딩스,051780,방송과엔터테인먼트,204,695.2,292.6,216.8,3.8,30.1,,18.5,17.7,,402.7,182.4,13.8,,171.6,,10.7,24.3,334.8,222.6,,134.3,,5.1,54.7,,,,,28.5,112.2,,81.9,6.5,3.0,,,,227.8,204.2,1.7,360.4,389.1,622.1,,908.7,-51.4,-1042.7
2021/12(E),큐로홀딩스,051780,방송과엔터테인먼트,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,큐리언트,115180,생물공학,146,121.0,106.7,,72.2,,,0.3,33.9,,14.3,0.3,5.4,,2.7,,,5.8,34.3,26.4,,,,25.0,,,,,,1.5,7.9,,,3.6,,0.4,,,7.0,-26.9,0.1,86.7,85.0,48.7,,1048.3,16.7,-1028.8
2020/09,큐리언트,115180,생물공학,146,78.8,57.7,,10.7,,,0.9,45.7,,21.0,0.3,7.4,,2.8,,,10.5,42.3,28.3,,,,26.7,,,,,,1.6,14.0,,,8.4,,0.4,,,11.8,-33.9,0.1,36.5,31.1,48.7,,1048.3,18.0,-1079.2
2020/12,큐리언트,115180,생물공학,146,608.1,587.5,,540.4,,,0.4,46.4,,20.6,0.3,7.6,,2.8,,,9.9,38.5,27.0,,,,3.5,23.5,,,,,,11.6,,,7.6,,0.4,,,11.0,-575.8,0.1,569.6,565.7,57.6,,1640.0,14.2,-1146.1
2021/03,큐리언트,115180,생물공학,146,557.0,537.1,,502.0,,,0.8,33.6,,20.0,0.3,7.5,,2.9,,,9.3,48.5,36.1,,,,34.9,,,,,,1.2,12.4,,,7.1,,0.4,,0.1,10.7,-22.9,0.1,508.5,506.2,57.6,,1640.0,15.1,-1206.5
2021/06,큐리언트,115180,생물공학,146,492.6,474.0,,407.3,,,0.5,65.7,,18.6,0.3,7.3,,3.0,,,8.1,45.9,32.8,,,,30.9,,,,,,1.9,13.2,,,6.2,,0.4,,0.2,9.9,-55.9,0.1,446.7,445.9,57.8,,1650.9,14.2,-1277.0
2021/09,큐리언트,115180,생물공학,146,450.5,413.2,1.7,267.0,7.1,,2.8,133.9,,37.3,0.4,25.3,,3.9,,,7.7,54.6,38.0,,,,4.1,28.7,,0.2,,,4.9,16.6,,,5.7,,0.6,1.8,,9.8,-391.2,0.2,395.9,390.9,57.8,,1650.9,11.3,-1329.3
2021/12(E),큐리언트,115180,생물공학,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,큐브엔터,182360,방송과엔터테인먼트,204,526.8,364.8,45.7,45.0,34.4,,27.4,212.0,,162.0,54.4,30.9,,32.7,,8.2,35.9,190.6,152.0,,,,13.1,58.9,0.1,,,,80.0,38.6,,,36.4,,1.1,,,49.4,-192.6,1.6,336.3,336.3,33.6,,357.9,1.0,-57.6
2020/09,큐브엔터,182360,방송과엔터테인먼트,204,567.7,350.1,39.4,46.1,42.1,,28.2,194.2,,217.6,57.4,28.9,,78.0,,8.2,45.2,199.0,159.0,,,,13.6,41.0,0.1,0.3,,,104.0,40.1,,,36.3,,1.1,,,49.9,-174.3,5.3,368.7,346.3,33.7,,367.4,,-56.1
2020/12,큐브엔터,182360,방송과엔터테인먼트,204,588.5,374.8,27.1,78.6,51.5,,13.4,180.6,23.5,213.7,63.9,66.8,,67.2,,12.0,3.8,216.3,121.9,,,,16.5,55.7,0.2,2.2,,,47.4,94.4,,,39.8,,1.1,,52.4,56.3,-154.3,6.8,372.2,366.4,34.5,,393.1,,-61.8
2021/03,큐브엔터,182360,방송과엔터테인먼트,204,598.7,375.1,29.9,80.6,74.3,,17.2,131.8,23.5,223.6,59.2,63.1,,86.0,,12.0,3.3,208.1,123.9,,,,16.0,57.5,0.2,2.0,,,48.2,84.2,,,36.3,,1.1,,44.9,52.3,-127.1,0.4,390.6,379.0,34.5,,243.1,,103.1
2021/06,큐브엔터,182360,방송과엔터테인먼트,204,613.6,358.3,50.3,88.1,74.4,,24.5,80.7,23.5,255.2,57.3,58.5,,127.0,,9.6,2.8,219.2,145.9,,,,16.1,80.8,0.2,5.6,,,43.4,73.3,,,33.9,,1.3,,37.4,50.0,-77.5,1.9,394.3,385.7,34.5,,243.1,,104.0
2021/09,큐브엔터,182360,방송과엔터테인먼트,204,675.6,386.1,52.7,74.2,90.5,,24.1,106.2,23.5,289.5,58.5,54.2,,164.9,,9.6,2.3,233.2,169.0,,,,16.0,101.7,0.2,4.9,,,46.3,64.1,,,31.4,,1.3,,29.9,47.4,-103.1,6.6,442.4,431.5,69.0,,208.3,-0.6,110.8
2021/12(E),큐브엔터,182360,방송과엔터테인먼트,204,793.0,563.0,,,,,,,,,,,,,,,,389.0,241.0,,,,,,,,,,,148.0,,,,,,,,,-262.0,,404.0,377.0,35.0,,,,
2020/06,큐에스아이,066310,반도체와반도체장비,202,742.4,452.3,77.1,1.5,75.5,,0.8,269.4,,290.1,131.0,32.0,,117.0,0.0,4.1,6.0,184.6,108.0,,,0.6,71.7,34.2,,1.5,,,0.0,76.6,,,71.9,3.0,,,,75.1,-222.3,7.4,557.8,557.8,41.4,,196.5,-0.2,322.6
2020/09,큐에스아이,066310,반도체와반도체장비,202,741.2,372.2,89.2,6.7,84.0,,2.8,148.4,,369.0,149.2,30.5,,182.3,,3.4,3.4,195.5,117.4,,,,71.8,45.6,,,,,,78.1,,,74.5,3.6,,,,77.2,-116.9,48.0,545.7,545.7,41.4,,196.5,-0.2,309.7
2020/12,큐에스아이,066310,반도체와반도체장비,202,745.0,322.4,86.8,6.5,65.9,,1.2,104.8,,422.6,179.7,29.7,,192.7,,12.8,7.8,198.7,111.8,,,,79.2,32.5,,,,,0.1,86.8,,,83.1,3.7,,,,83.1,-82.9,80.2,546.3,546.3,41.4,,196.5,-0.2,310.1
2021/03,큐에스아이,066310,반도체와반도체장비,202,768.4,309.7,80.8,17.8,92.9,,0.5,76.3,,458.7,183.8,29.4,,235.2,,3.4,6.9,216.9,125.6,,,,79.2,45.8,,0.6,,,,91.3,,,86.9,4.4,,,,86.9,-47.0,7.6,551.5,551.5,41.4,,196.5,-0.2,313.2
2021/06,큐에스아이,066310,반도체와반도체장비,202,781.5,307.3,69.7,17.9,103.3,,0.5,79.5,,474.2,186.5,27.8,,244.9,0.3,5.6,9.1,210.5,116.5,,,,72.5,43.6,,0.2,,,0.1,94.0,,,89.2,4.8,,,,90.0,-42.2,18.7,571.0,571.0,41.4,,196.5,-0.2,331.5
2021/09,큐에스아이,066310,반도체와반도체장비,202,793.9,284.5,80.1,6.8,74.8,,0.8,83.4,,509.3,189.2,26.9,,279.7,0.3,5.5,7.8,170.2,159.7,,,,126.4,32.1,,1.2,,,0.0,10.4,,,5.4,5.0,,,,75.4,-51.6,25.5,623.7,623.7,42.5,,231.8,-0.2,343.7
2021/12(E),큐에스아이,066310,반도체와반도체장비,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,큐캐피탈,016600,창업투자,109,,,,,,,,,,,16.4,5.3,,,,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,1271.1,,,,,
2020/09,큐캐피탈,016600,창업투자,109,,,,,,,,,,,14.1,5.3,,,,31.3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1284.1,,,,,
2020/12,큐캐피탈,016600,창업투자,109,,,,,,,,,,,11.5,5.3,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,1293.2,,,,,
2021/03,큐캐피탈,016600,창업투자,109,,,,,,,,,,,9.0,5.3,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,1289.4,,,,,
2021/06,큐캐피탈,016600,창업투자,109,,,,,,,,,,,6.4,5.3,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,1316.5,,,,,
2021/09,큐캐피탈,016600,창업투자,109,,,,,,,,,,,22.4,5.3,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,1326.9,,,,,
2021/12(E),큐캐피탈,016600,창업투자,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/06,크로바하이텍,043590,전기제품,221,240.5,135.1,37.8,10.2,39.2,,11.4,36.0,,105.4,91.0,0.8,,10.3,3.3,,,106.7,100.2,,14.2,,,77.4,0.5,6.7,,,1.4,6.5,,,,,,,,14.2,-21.8,0.7,133.8,133.8,116.5,,393.0,-25.8,-357.9
2020/09,크로바하이텍,043590,전기제품,221,269.4,181.4,43.1,,44.2,,4.3,89.7,,88.0,86.4,0.6,,-2.5,3.5,,,111.4,104.1,,14.6,,3.3,83.9,,0.1,,,2.3,7.3,,,0.3,,,,,15.1,-74.6,,158.0,158.0,116.5,,393.0,-25.8,-334.9
2020/12,크로바하이텍,043590,전기제품,221,214.6,85.1,22.1,,41.8,,5.1,16.0,,129.5,73.2,0.7,,46.5,2.0,,7.2,73.3,59.5,,14.5,,5.7,25.8,0.6,13.0,,,,13.8,,,7.0,,,,,16.6,0.6,1.4,141.3,141.3,123.8,,415.1,-19.7,-383.2
2021/03,크로바하이텍,043590,전기제품,221,292.6,157.3,28.8,,51.8,,4.5,72.3,,135.3,71.0,0.7,,54.4,1.9,,7.3,98.1,85.5,,25.9,,5.4,40.3,0.6,13.4,,,,12.6,,,6.2,,,,,27.8,-44.5,,194.4,194.4,134.5,,449.5,-14.8,-379.6
2021/06,크로바하이텍,043590,전기제품,221,299.9,148.2,35.7,0.3,59.8,,4.6,47.7,,151.8,74.7,0.6,,68.9,0.3,,7.3,61.8,51.2,,13.8,0.5,0.7,24.4,0.5,11.3,,,,10.6,,,3.7,,,,,14.5,-33.2,7.1,238.2,238.2,148.8,,455.2,-14.1,-357.4
