shareCode,shareName,shareNameEn,marketType,shareType
027830,대성창투,Daesung Private Equity Inc.,KOSDAQ,보통주
104040,대성파인텍,Daesung Fine Tech. Co. Ltd,KOSDAQ,보통주
387310,대신밸런스제10호스팩,Daishin Balance No.10 Special Purpose Acquisition Company,KOSDAQ,보통주
332290,대신밸런스제7호스팩,Daishin Balance No.7 Special Purpose Acquisition Company,KOSDAQ,보통주
336570,대신밸런스제8호스팩,Daishin Balance No.8 Special Purpose Acquisition Company,KOSDAQ,보통주
369370,대신밸런스제9호스팩,Daishin Balance No.9 Special Purpose Acquisition Company,KOSDAQ,보통주
020180,대신정보통신,DaishinInformation,KOSDAQ,보통주
045390,대아티아이,DAEA TI CO. LTD.,KOSDAQ,보통주
108380,대양전기공업,DAYANG ELECTRIC CO.LTD,KOSDAQ,보통주
006580,대양제지,DaeyangPaperMfg,KOSDAQ,보통주
007680,대원,DAEWON CO. LTD.,KOSDAQ,보통주
048910,대원미디어,DAEWON MEDIA CO.LTD.,KOSDAQ,보통주
005710,대원산업,Daewonsanup,KOSDAQ,보통주
290380,대유,Dae Yu Co. Ltd.,KOSDAQ,보통주
290120,대유에이피,Dayou AP Co.Ltd.,KOSDAQ,보통주
120240,대정화금,Daejung Chemicals & Metals Co. Ltd.,KOSDAQ,보통주
003310,대주산업,Daejoo Inc.,KOSDAQ,보통주
078600,대주전자재료,Daejoo Electronic Materials Co. Ltd.,KOSDAQ,보통주
096350,대창솔루션,DAECHANG SOLUTION CO.LTD.,KOSDAQ,보통주
140520,대창스틸,DaeChang Steel CO. LTD.,KOSDAQ,보통주
131220,대한과학,DAIHAN SCIENTIFIC CO. Ltd,KOSDAQ,보통주
010170,대한광통신,TAIHAN Fiberoptics Co.LTD,KOSDAQ,보통주
060900,대한그린파워,Daehan Green Power Corporation,KOSDAQ,보통주
054670,대한뉴팜,DAEHAN NEW PHARM CO. LTD.,KOSDAQ,보통주
023910,대한약품,DaihanPharmaceutical,KOSDAQ,보통주
021040,대호특수강,dhSteel,KOSDAQ,보통주
067080,대화제약,DAE HWA PHARM CO. LTD,KOSDAQ,보통주
161570,THE MIDONG,THE MIDONG Co. Ltd,KOSDAQ,보통주
298540,더네이쳐홀딩스,THE NATURE HOLDINGS CO. LTD,KOSDAQ,보통주
073570,WI,WI Co.Ltd.,KOSDAQ,보통주
299170,더블유에스아이,WSI Co. Ltd.,KOSDAQ,보통주
192410,THQ,The HQ,KOSDAQ,보통주
