BAS_DD,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
2010/11/26,1281609704.0,7880502880941.0,1151260287419957.0
2010/11/27,,,
2010/11/28,,,
2010/11/29,993682004.0,6196152316827.0,1147823631552742.0
2010/11/30,1152889106.0,7809002157523.0,1153383027983664.0
2010/12/01,1035286293.0,6492557860504.0,1167951559877410.0
2010/12/02,1153474030.0,7554198900241.0,1180739967986724.0
2010/12/03,1114542731.0,8491657763929.0,1183978871152873.0
2010/12/04,,,
2010/12/05,,,
2010/12/06,1051684331.0,6871717494167.0,1182065525326632.0
2010/12/07,1334032777.0,7794201855522.0,1187344821082097.0
2010/12/08,1213600634.0,7036755022976.0,1183330818301857.0
2010/12/09,1091213499.0,8427293437924.0,1202421517020180.0
2010/12/10,1107282844.0,7083859804435.0,1201267905399177.0
2010/12/11,,,
2010/12/12,,,
2010/12/13,1083967464.0,6759490281984.0,1207887771602248.0
2010/12/14,1138752376.0,8135615605582.0,1216430802165661.0
2010/12/15,1144472166.0,8306181912897.0,1221086693431647.0
2010/12/16,1019141799.0,7209667200582.0,1215847972300488.0
2010/12/17,1100604155.0,8446050495103.0,1225303972218305.0
2010/12/18,,,
2010/12/19,,,
2010/12/20,997078300.0,8997336685930.0,1219708619337740.0
2010/12/21,903606157.0,8934125165248.0,1230511137564409.0
2010/12/22,920279085.0,7751501959466.0,1231040908310420.0
2010/12/23,919474857.0,6885237384870.0,1230650911831389.0
2010/12/24,809682599.0,6865678366716.0,1226006519889164.0
2010/12/25,,,
2010/12/26,,,
2010/12/27,845653120.0,6777918542071.0,1221782831628847.0
2010/12/28,936172150.0,7767916853099.0,1227806179302848.0
2010/12/29,831352462.0,6450941448753.0,1234062298317127.0
2010/12/30,941031626.0,7315349406471.0,1239857714208197.0
2010/12/31,,,
2011/01/01,,,
2011/01/02,,,
2011/01/03,945882533.0,7766728056610.0,1252651086851281.0
2011/01/04,1165718813.0,10205658075920.0,1263380514955070.0
2011/01/05,1060862299.0,11071036616020.0,1262982156803942.0
2011/01/06,1221820345.0,12103503721500.0,1260964458131512.0
2011/01/07,1005833769.0,10154494005387.0,1266521654467400.0
2011/01/08,,,
2011/01/09,,,
2011/01/10,983900714.0,9518372224305.0,1264237297286881.0
2011/01/11,1170422963.0,9596746556388.0,1268299096087751.0
2011/01/12,1269114187.0,10640565018490.0,1272483824662230.0
2011/01/13,1163117665.0,11638594552842.0,1269065094656855.0
2011/01/14,1071407764.0,11326002693964.0,1279885175340158.0
2011/01/15,,,
2011/01/16,,,
2011/01/17,1066836208.0,10312694196076.0,1274999810279819.0
2011/01/18,1154341003.0,10145448384527.0,1273965098407377.0
2011/01/19,1089695179.0,10798104075632.0,1285613603704492.0
2011/01/20,1037366975.0,8730719147897.0,1280419335599639.0
2011/01/21,1064816093.0,9774897780432.0,1258671101992369.0
2011/01/22,,,
2011/01/23,,,
2011/01/24,1032507604.0,8271792896170.0,1265837069091883.0
2011/01/25,1212300749.0,9801567288066.0,1267746020211944.0
2011/01/26,976198003.0,8189102095701.0,1281585454221607.0
2011/01/27,960402433.0,9452042763089.0,1284983105392881.0
2011/01/28,1034149523.0,10245879311805.0,1281110505974225.0
2011/01/29,,,
2011/01/30,,,
2011/01/31,835274431.0,9372197500024.0,1258861346445704.0
2011/02/01,829040143.0,8070747510029.0,1255156817801770.0
2011/02/02,,,
2011/02/03,,,
2011/02/04,,,
2011/02/05,,,
2011/02/06,,,
2011/02/07,778804988.0,8341056617905.0,1261696847643207.0
2011/02/08,885538718.0,9336097367814.0,1254690804826577.0
2011/02/09,1057907994.0,8971440441431.0,1240499988834195.0
2011/02/10,1037790313.0,9184751185152.0,1219161851146006.0
2011/02/11,1153761462.0,9731250806434.0,1200740338632607.0
2011/02/12,,,
2011/02/13,,,
