period,shareName,shareCode,marketName,marketCode,mv,totalRevenue,operationIncome,operationIncomePublished,continuingIncomeAndLoseBeforeIncomeTaxes,netIncome,controllingNetIncome,nonControllingNetIncome,assets,liabilities,equity,controllingEquity,nonControllingEquity,commonStock,operatingCashFlow,investingCashFlow,financingCashFlow,capex,fcf,interestBearingLiabilities,operationIncomeMargin,netIncomeMargin,roe,roa,liabilitiesRatio,equityRatio,eps,per,bps,pbr,cashDps,dividendYield,dividendPayoutRatio,shareNum,ev,ebitda,ev/ebitda,ebitdaMargin,psr,sps,por,ops
2021/03,디케이락,105740,기계,138,1102.8,184.0,5.0,5.0,22.0,18.0,18.0,,1446.0,527.0,919.0,919.0,,42.0,-8.0,-6.0,-51.0,2.0,-10.0,269.0,2.85,9.75,,,57.34,2073.39,,,11487.5,1.2,,,0.0,8449912.0,970.2,26.3,36.89,,,,,
2021/06,디케이락,105740,기계,138,1061.07,243.0,27.0,27.0,24.0,19.0,19.0,,1504.0,566.0,939.0,939.0,,42.0,85.0,-71.0,-13.0,24.0,60.0,273.0,10.99,7.93,,,60.23,2118.7,62.5,212.21,11737.5,1.13,,,,8449912.0,925.67,40.8,22.69,5.26,1.37,9700.0,37.9,350.0
2021/09,디케이락,105740,기계,138,917.0,191.0,16.0,16.0,3.0,2.0,2.0,,1518.0,577.0,942.0,942.0,,42.0,5.0,-23.0,-6.0,22.0,-17.0,273.0,8.44,1.04,,,61.23,2123.01,100.0,114.62,11775.0,0.97,,,0.0,8449912.0,761.0,67.9,11.21,8.57,1.16,9900.0,22.92,500.0
2021/12(E),디케이락,105740,기계,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03(E),디케이락,105740,기계,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/06(E),디케이락,105740,기계,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09,디케이앤디,263020,"섬유,의류,신발,호화품",134,465.8,250.0,31.0,31.0,30.0,23.0,23.0,,700.0,151.0,548.0,548.0,,39.0,40.0,-26.0,19.0,2.0,38.0,33.0,12.37,9.28,8.71,7.03,27.57,1292.47,,,3425.0,0.85,0.0,0.0,0.0,15526404.0,521.7,,,,,,,
2020/12,디케이앤디,263020,"섬유,의류,신발,호화품",134,758.28,169.0,1.0,1.0,-7.0,-5.0,-5.0,,650.0,116.0,534.0,534.0,,39.0,17.0,2.0,-5.0,2.0,15.0,27.0,0.38,-2.9,6.81,5.62,21.7,1277.37,,,3337.5,1.42,0.0,0.0,0.0,15526404.0,823.18,,,,,,,
2021/03,디케이앤디,263020,"섬유,의류,신발,호화품",134,700.56,179.0,14.0,14.0,19.0,16.0,16.0,,684.0,128.0,556.0,556.0,,39.0,3.0,31.0,0.0,3.0,0.0,27.0,7.79,8.97,8.46,6.94,23.06,1318.67,,,3475.0,1.26,0.0,0.0,,15526404.0,801.86,,,,,,,
2021/06,디케이앤디,263020,"섬유,의류,신발,호화품",134,803.72,182.0,11.0,11.0,13.0,9.0,9.0,,935.0,369.0,566.0,566.0,,39.0,6.0,-242.0,248.0,75.0,-69.0,175.0,6.13,5.15,7.98,5.66,65.11,1342.81,268.75,18.69,3537.5,1.42,0.0,0.0,,15526404.0,767.42,,,,1.03,4875.0,14.1,356.25
2021/09,디케이앤디,263020,"섬유,의류,신발,호화품",134,362.0,180.0,-2.0,-2.0,5.0,4.0,5.0,0.0,1094.0,487.0,607.0,600.0,7.0,39.0,-28.0,-40.0,54.0,4.0,-33.0,209.0,-0.84,2.4,4.39,2.77,80.37,1376.3,156.25,14.48,3750.0,0.6,0.0,0.0,0.0,15526404.0,290.0,,,,0.51,4437.5,15.08,150.0
2021/12(E),디케이앤디,263020,"섬유,의류,신발,호화품",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
